web-scraper-order,web-scraper-start-url,start_page_link,start_page_link-href,city_selector,city_selector-href,page_city_selector,page_city_selector-href,hotelLinkHrefName,hotelLinkHref
"1577492018-25092","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#45Yellowknife Hotels(71)","https://www.tripadvisor.ca/Hotels-g154966-Yellowknife_Northwest_Territories-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g154966-oa30-Yellowknife_Northwest_Territories-Hotels.html#BODYCON","Aurora Yellowknife Jenny's","https://www.tripadvisor.ca/Hotel_Review-g154966-d7817669-Reviews-Aurora_Yellowknife_Jenny_s-Yellowknife_Northwest_Territories.html"
"1577491087-23331","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","6","https://www.tripadvisor.ca/Hotels-g153339-oa100-Canada-Hotels.html#LEAF_GEO_LIST","#113Cavendish Hotels(44)","https://www.tripadvisor.ca/Hotels-g499311-Cavendish_Prince_Edward_Island-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g499311-oa30-Cavendish_Prince_Edward_Island-Hotels.html#BODYCON","Cavendish Corner Motel Inn","https://www.tripadvisor.ca/Hotel_Review-g499311-d7645669-Reviews-Cavendish_Corner_Motel_Inn-Cavendish_Prince_Edward_Island.html"
"1577491737-24383","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#68Windsor Hotels(49)","https://www.tripadvisor.ca/Hotels-g155021-Windsor_Ontario-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g155021-oa30-Windsor_Ontario-Hotels.html#BODYCON","Innkeeper Motel","https://www.tripadvisor.ca/Hotel_Review-g155021-d1391569-Reviews-Innkeeper_Motel-Windsor_Ontario.html"
"1577491378-23760","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#92Tadoussac Hotels(36)","https://www.tripadvisor.ca/Hotels-g155036-Tadoussac_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g155036-oa30-Tadoussac_Quebec-Hotels.html#BODYCON","La Maison Harvey Lessard","https://www.tripadvisor.ca/Hotel_Review-g155036-d610356-Reviews-La_Maison_Harvey_Lessard-Tadoussac_Quebec.html"
"1577491616-24089","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#79West Kelowna Hotels(54)","https://www.tripadvisor.ca/Hotels-g1915410-West_Kelowna_Okanagan_Valley_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g1915410-oa30-West_Kelowna_Okanagan_Valley_British_Columbia-Hotels.html#BODYCON","Kelowna Sunny Day House","https://www.tripadvisor.ca/Hotel_Review-g1915410-d12835303-Reviews-Kelowna_Sunny_Day_House-West_Kelowna_Okanagan_Valley_British_Columbia.html"
"1577491888-24716","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#57Fernie Hotels(209)","https://www.tripadvisor.ca/Hotels-g182167-Fernie_Kootenay_Rockies_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182167-oa30-Fernie_Kootenay_Rockies_British_Columbia-Hotels.html#BODYCON","Barbara Lynn's Country Inn","https://www.tripadvisor.ca/Hotel_Review-g182167-d603682-Reviews-Barbara_Lynn_s_Country_Inn-Fernie_Kootenay_Rockies_British_Columbia.html"
"1577491593-24045","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#81North Bay Hotels(41)","https://www.tripadvisor.ca/Hotels-g155000-North_Bay_Northeastern_Ontario_Ontario-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g155000-oa30-North_Bay_Northeastern_Ontario_Ontario-Hotels.html#BODYCON","Howard Johnson by Wyndham North Bay","https://www.tripadvisor.ca/Hotel_Review-g155000-d182952-Reviews-Howard_Johnson_by_Wyndham_North_Bay-North_Bay_Northeastern_Ontario_Ontario.html"
"1577491522-23944","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#84Powell River Hotels(43)","https://www.tripadvisor.ca/Hotels-g184843-Powell_River_Sunshine_Coast_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g184843-oa30-Powell_River_Sunshine_Coast_British_Columbia-Hotels.html#BODYCON","Adventure Bed & Breakfast at Rockwood Retreat","https://www.tripadvisor.ca/Hotel_Review-g184843-d589935-Reviews-Adventure_Bed_Breakfast_at_Rockwood_Retreat-Powell_River_Sunshine_Coast_British_Columbi.html"
"1577491271-23606","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#98Ile d'Orleans Hotels(48)","https://www.tripadvisor.ca/Hotels-g580448-Ile_d_Orleans_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g580448-oa30-Ile_d_Orleans_Quebec-Hotels.html#BODYCON","Auberge Les Blancs Moutons","https://www.tripadvisor.ca/Hotel_Review-g1967797-d3319252-Reviews-Auberge_Les_Blancs_Moutons-Saint_Laurent_de_l_Ile_d_Orleans_Ile_d_Orleans_Quebec.html"
"1577491864-24634","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#59Gatineau Hotels(67)","https://www.tripadvisor.ca/Hotels-g182166-Gatineau_Outaouais_Region_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182166-oa30-Gatineau_Outaouais_Region_Quebec-Hotels.html#BODYCON","Gite du Parc","https://www.tripadvisor.ca/Hotel_Review-g182166-d285839-Reviews-Gite_du_Parc-Gatineau_Outaouais_Region_Quebec.html"
