hotel,city,nation,reviewer,vote
Le Meridien Grand Hotel Nürnberg,Nürnberg,Deutschland,Lior P,9.0
Le Meridien Grand Hotel Nürnberg,Nürnberg,Deutschland,nederlandsegulden,1.0
Pension Seeperle,Usedom,Deutschland,Waldmaedel,8.0
Pension Seeperle,Usedom,Deutschland,ollith,7.0
Pension Seeperle,Usedom,Deutschland,M. Fehling,0.0
Pension Seeperle,Usedom,Deutschland,NAW_Newbury,8.0
Hafenapartments Warnemunde, Rostock,Deutschland,Anett H,10.0
Hafenapartments Warnemunde, Rostock,Deutschland, Dennis G,10.0
Hafenapartments Warnemunde, Rostock,Deutschland,eithne e,9.0
Hafenapartments Warnemunde, Rostock,Deutschland,ollith,0.0
Hafenapartments Warnemunde, Rostock,Deutschland,BBoehme44,3.0
Hotel am Schlosspark, Leipzig,Deutschland,jean_marcb421,8.0
Hotel am Schlosspark, Leipzig,Deutschland,Prof. SH,3.0
Hotel am Schlosspark, Leipzig,Deutschland,jkerber2018,9.0
Hotel am Schlosspark, Leipzig,Deutschland,Prof. SH,7.0
Aparthotel Adagio Bremen,Bremen,Deutschland,Nordwolf1,8.0
Aparthotel Adagio Bremen,Bremen,Deutschland, schul,4.0
Aparthotel Adagio Bremen,Bremen,Deutschland, Asaf Y,8.0
Aparthotel Adagio Bremen,Bremen,Deutschland, Gineke Nawijn,8.0
Aparthotel Adagio Bremen,Bremen,Deutschland,Kati_reist,2.0
Aparthotel Adagio Bremen,Bremen,Deutschland,eithne e,9.0
Aparthotel Adagio Bremen,Bremen,Deutschland,Kristine G,7.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland,Jens K,6.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland, Anne C,2.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland, Andreas S,2.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland, 60erfreund,8.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland, Joe M,2.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland,eithne e,7.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland,ollith,7.0
Novum Hotel Excelsior Düsseldorf,Düsseldorf,Deutschland,NAW_Newbury,1.0
Hotel Cult,Frankfurt,Deutschland,Intellgenial,4.0
Hotel Cult,Frankfurt,Deutschland, Traveler00811,10.0
Hotel Cult,Frankfurt,Deutschland, Sven B,10.0
Hotel Cult,Frankfurt,Deutschland, cult79,8.0
Hotel Cult,Frankfurt,Deutschland, bockylaw,8.0
Hotel Cult,Frankfurt,Deutschland,eithne e,3.0
Hotel Cult,Frankfurt,Deutschland,jkerber2018,3.0
Hotel Cult,Frankfurt,Deutschland,BBoehme44,9.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland,Matthias S,10.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland, Glock.doc,10.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland, hutmaoli,10.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland, Michael Z,10.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland, Swani85,8.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland,ollith,6.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland,Kristine G,6.0
Sofitel Berlin Kurfürstendamm,Strasse,Deutschland,M. Fehling,3.0
Wikinger,Usedom,Deutschland,ollizowa,6.0
Wikinger,Usedom,Deutschland, peterW5157DR,4.0
Wikinger,Usedom,Deutschland, Ines K,10.0
Wikinger,Usedom,Deutschland, 07aaron,8.0
Wikinger,Usedom,Deutschland, cocomaus,10.0
Wikinger,Usedom,Deutschland,Omatilla,7.0
Wikinger,Usedom,Deutschland,Thomas Miller,1.0
Wikinger,Usedom,Deutschland,jmb,2.0
